,test_rmse,test_mae,fit_time,test_time,k,mean_rmse,mean_mae
0,1.8709268811610216,1.4620640533078766,0.18233084678649902,0.03310227394104004,5,1.8648033766844925,1.450568587491971
1,1.8683534662900352,1.4497753687895718,0.20094990730285645,0.03044581413269043,5,1.8648033766844925,1.450568587491971
2,1.8742722129274023,1.4546037899769522,0.23469185829162598,0.03406691551208496,5,1.8648033766844925,1.450568587491971
3,1.853082339467451,1.4452449365900881,0.18921494483947754,0.030755996704101562,5,1.8648033766844925,1.450568587491971
4,1.8573819835765537,1.4411547887953668,0.28710007667541504,0.2579779624938965,5,1.8648033766844925,1.450568587491971
5,1.8862719217450843,1.465392326194173,0.22640371322631836,0.037116050720214844,10,1.877142359629967,1.4588805271447787
6,1.8830910469995037,1.4617169965481585,0.24592185020446777,0.033553123474121094,10,1.877142359629967,1.4588805271447787
7,1.8719521218477877,1.4575480673052432,0.2365250587463379,0.03122568130493164,10,1.877142359629967,1.4588805271447787
8,1.8636515879430096,1.4478711506560031,0.22430014610290527,0.03246307373046875,10,1.877142359629967,1.4588805271447787
9,1.8807451196144507,1.4618740950203162,0.2540099620819092,0.15358901023864746,10,1.877142359629967,1.4588805271447787
10,1.8834483751418378,1.4580773649781318,0.2252819538116455,0.05149698257446289,15,1.8854369562360613,1.464759224083371
11,1.8855060943565212,1.4672562977131631,0.2533249855041504,0.03201007843017578,15,1.8854369562360613,1.464759224083371
12,1.8962048686829918,1.4746830271375282,0.23650789260864258,0.03100109100341797,15,1.8854369562360613,1.464759224083371
13,1.8934514308073758,1.4694465942069477,0.20696687698364258,0.030447006225585938,15,1.8854369562360613,1.464759224083371
14,1.8685740121915804,1.4543328363810835,0.2308061122894287,0.032302141189575195,15,1.8854369562360613,1.464759224083371
15,1.891139206621546,1.472542818916056,0.24129796028137207,0.033215999603271484,20,1.8888519052433748,1.4685295303253663
16,1.8880960699073255,1.468835311669281,0.24889802932739258,0.03298830986022949,20,1.8888519052433748,1.4685295303253663
17,1.870609050625411,1.4562551777329193,0.23057985305786133,0.031022071838378906,20,1.8888519052433748,1.4685295303253663
18,1.8978251680622737,1.4736195553551068,0.30989503860473633,0.03697681427001953,20,1.8888519052433748,1.4685295303253663
